name_clean,orbital_period,semi_major_axis,DL,star_mass,mass,method,M_lens,pi_rel,theta_E,te,thetas,s,q,u0,rho,piEE,piEN,r_s,a_s,v_para,v_perp,v_radial,DS,t0,W149,u,g,r,i,z,Y,alpha
toi2141b,18.26157,0.133,77.7,0.94,0.076,Transit,0.9400725491617815,0.01270428532609507,9.862131190062609,59.0929740098116,0.0003044699573121032,0.17356407846576669,7.717995934220075e-05,5.587996774676073,3.0872633049020545e-05,-4.813958426039383e-12,1.4579262508102829e-12,11.52312170628368,1,-292.9202619214029,1064.2237298259663,-66.15431845068211,6034.0,2461638.763828608,24.3528,31.083,28.029,26.682,25.364,24.717,24.435,3.141592653589793
18delab,993.3,2.6,73.1,2.3,10.3,Radial Velocity,2.309832320609884,0.013552680282285004,15.966796636049681,82.45897811292836,0.00022944149083596572,2.22760496479124,0.004274922004297412,-1.7786923362930742,1.4369913769549423e-05,-1.4152424846982053e-12,5.480660889063103e-13,0.8978252569963319,1,2.5715543937644716,1.7656890278053363,-2.941822227478851,7861.0,2461638.763828608,24.6658,31.503,28.424,27.071,25.716,25.048,24.755,3.141592653589793
kepler391c,20.485435,0.161,891.53,1.22,1.416,Transit,1.2213517054353005,0.000994618586558103,3.1453112422527445,9.04412086827986,0.00023912216811139246,0.05741512134360738,0.001107955274836528,17.35959936192092,7.602496214019431e-05,1.9597248004384433e-12,8.746823291938179e-13,34.834028966529054,1,2534.0298493656924,-1210.099143628858,-709.2878718892493,7871.0,2461638.763828608,24.3848,31.112,28.027,26.671,25.377,24.744,24.468,3.141592653589793
hats56b,4.324799,0.06043,577.1,1.573,0.602,Transit,1.5735746657288492,0.0015984836062855206,4.525981152155829,28.479600007802773,0.0003167999104011654,0.023136026810215614,0.00036533104186238627,43.199497150570714,6.999585277774883e-05,1.6986347774312378e-12,1.999391547626707e-12,86.44526635476186,1,-23270.557179509775,-24654.012009240774,-27858.032999044124,7445.0,2461638.763828608,23.2608,27.796,25.33,24.219,23.706,23.451,23.306,3.141592653589793
hd94834ab,1576.0,2.74,81.0,1.11,1.26,Radial Velocity,1.1112027887348015,0.004081216202428323,6.077240630151731,31.8245599922424,0.010516334265466878,5.5662038995126295,0.0010835934547759904,-5.38654824584756,0.0017304455929046066,-1.8370966492313424e-12,3.1541513192967296e-12,0.3593113073301389,1,-0.7208816339288042,-1.4395165005190247,-0.11550873862730698,121.0,2461638.763828608,25.0168,29.994,27.401,26.147,25.504,25.183,25.016,3.141592653589793
yzcetc,3.05989,0.02156,3.6,0.13,0.00359,Radial Velocity,0.13000342699329995,0.2773370549924098,17.135481817219326,7.329038148843931,0.0006409368716626428,0.3495022172572175,2.6361486922691356e-05,2.5117099600150263,3.740407643621493e-05,5.87616349532309e-11,7.055908587799363e-11,5.722424354544487,1,2247.1878213252385,3114.6376935710036,-3664.572667238255,2269.0,2461638.763828608,22.6698,30.094,26.842,25.445,23.883,23.122,22.787,3.141592653589793
hd30774b,4.93,0.06,41.6887,1.04,41.59,Radial Velocity,1.0797015741907843,0.023855943988904848,14.483220438625887,67.71469111849011,0.000163738562223391,0.09937285264368492,0.03817459056806176,9.9637376790187,1.1305397367750476e-05,-6.979419857508694e-12,1.730618967937767e-12,20.12622106332477,1,2746.60591128054,-4146.043594592348,8655.967074782782,7612.0,2461638.763828608,22.1078,29.865,26.515,25.103,23.421,22.605,22.241,3.141592653589793
hd69830c,31.601,0.186,12.6,0.86,0.1649,Radial Velocity,0.8601574125891815,0.07875383242131408,23.48766191924518,117.24646196311912,0.0015270963982423232,0.6284961360845049,0.0001830378943971415,0.9626035423159749,6.501696096839082e-05,2.6690782748534275e-12,1.843646634854174e-11,3.1821993568009597,1,-238.74820379276898,-43.82825995428342,-221.67486127501908,1636.0,2461638.763828608,22.6958,26.74,24.414,23.398,23.01,22.825,22.709,3.141592653589793
hd151450ab,21.9,0.16,43.6002,1.14,0.121,Radial Velocity,1.1401155059023103,0.022807057243653166,14.552044788456092,62.11256567941059,0.00013395204693007537,0.2521781639945663,0.00010132096693884941,3.713272230915705,9.20503261756983e-06,2.6100188972020862e-12,4.38511267856871e-12,7.930900789820543,1,-690.0656603188537,-190.68028093161612,-414.16590951138926,7775.0,2461638.763828608,24.0418,32.357,28.842,27.406,25.528,24.617,24.205,3.141592653589793
gliese12b,12.76144,0.066,12.162,0.241,0.00494,Transit,0.2410047156955158,0.08209506407629362,12.693642523300305,55.72593163919168,0.00020333971848321365,0.42751629512377676,1.956720131040857e-05,1.9115758316698344,1.6019020396231074e-05,-1.760338904937097e-11,4.2916355086099377e-11,4.678184253587222,1,-720.7833669535964,802.8759997040039,412.80840535052545,7797.0,2461638.763828608,24.3488,31.338,28.205,26.836,25.432,24.744,24.443,3.141592653589793
