time,A_true,A_observed_blended,flux_unblended,flux_blended,mag_unblended,mag_blended,mag_observed,mag_sigma,mag_baseline_blended
-43.50877192982456,1.0471267620232858,1.0121240102393565,17.060794790354205,64.09955794472809,24.420001851880077,22.982862413832727,22.982862413832727,0.0,22.995946732797492
-43.1077694235589,1.0484558566077824,1.0124659381728638,17.08244967568944,64.12121283006333,24.41862462505008,22.982495679284185,22.982495679284185,0.0,22.995946732797492
-42.70676691729324,1.049830262557012,1.012819523080591,17.1048428172926,64.14360597166649,24.417202280881764,22.982116572292085,22.982116572292085,0.0,22.995946732797492
-42.30576441102757,1.05125178421794,1.013185229155709,17.128003613317215,64.1667667676911,24.415733135237517,22.981724608423363,22.981724608423363,0.0,22.995946732797492
-41.904761904761905,1.052722308270812,1.0135635417727615,17.15196280336967,64.19072595774355,24.414215434549234,22.981319281709258,22.981319281709258,0.0,22.995946732797492
-41.50375939849624,1.0542438079987515,1.0139549685860785,17.176752538073615,64.2155156924475,24.41264735273288,22.980900063570594,22.980900063570594,0.0,22.995946732797492
-41.10275689223058,1.055818347808962,1.0143600406929174,17.202406452733708,64.2411696071076,24.41102698795796,22.980466401682996,22.980466401682996,0.0,22.995946732797492
-40.70175438596492,1.057448088022443,1.0147793138656844,17.228959745374286,64.26772289974818,24.40935235926475,22.980017718778285,22.980017718778285,0.0,22.995946732797492
-40.30075187969925,1.0591352899504498,1.0152133698579229,17.256449259449923,64.2952124138238,24.407621403021743,22.979553411377942,22.979553411377942,0.0,22.995946732797492
-39.899749373433586,1.0608823212773422,1.0156628177891274,17.284913571547953,64.32367672592184,24.40583196921537,22.979072848454415,22.979072848454415,0.0,22.995946732797492
-39.498746867167924,1.062691661771007,1.0161282956138253,17.314393084428175,64.35315623880206,24.403981817563714,22.97857537001552,22.97857537001552,0.0,22.995946732797492
-39.097744360902254,1.0645659093437316,1.0166104716808249,17.344930125772425,64.38369328014632,24.402068613445348,22.978060285606986,22.978060285606986,0.0,22.995946732797492
-38.69674185463659,1.0665077864882326,1.0171100463889677,17.37656905304652,64.4153322074204,24.400089923634063,22.97752687272778,22.97752687272778,0.0,22.995946732797492
-38.29573934837093,1.0685201471155594,1.0176277539462775,17.409356364909957,64.44811951928385,24.39804321182974,22.97697437515243,22.97697437515243,0.0,22.995946732797492
